num_samples,query_ids,Precision,Recall,F1-score,Kappa
0,[],0.0,0.0,0.0,0.0
1,[282934],0.0,0.0,0.0,0.0
2,[136298],0.0,0.0,0.0,0.0
3,[48335],0.0,0.0,0.0,0.0
4,[100144],0.0,0.0,0.0,0.0
5,[155232],0.0,0.0,0.0,0.0
6,[215279],0.0,0.0,0.0,0.0
7,[263869],0.0,0.0,0.0,0.0
8,[121917],0.0,0.0,0.0,0.0
9,[199638],0.0,0.0,0.0,0.0
10,[178707],0.0,0.0,0.0,0.0
11,[232335],0.0,0.0,0.0,0.0
12,[196716],0.0,0.0,0.0,0.0
13,[76191],0.0,0.0,0.0,0.0
14,[151754],0.0,0.0,0.0,0.0
15,[207219],0.0,0.0,0.0,0.0
16,[71592],0.0,0.0,0.0,0.0
17,[62513],0.0,0.0,0.0,0.0
18,[179869],0.0,0.0,0.0,0.0
19,[41409],0.0,0.0,0.0,0.0
20,[4541],0.0,0.0,0.0,0.0
21,[234878],0.0,0.0,0.0,0.0
22,[272756],0.0,0.0,0.0,0.0
23,[118877],0.0,0.0,0.0,0.0
24,[90825],0.0,0.0,0.0,0.0
25,[230022],0.0,0.0,0.0,0.0
26,[50297],0.0,0.0,0.0,0.0
27,[252749],0.0,0.0,0.0,0.0
28,[63811],0.0,0.0,0.0,0.0
29,[238088],0.0,0.0,0.0,0.0
30,[157210],0.0,0.0,0.0,0.0
31,[30592],0.0,0.0,0.0,0.0
32,[215281],0.0,0.0,0.0,0.0
33,[97641],0.0,0.0,0.0,0.0
34,[208618],0.0,0.0,0.0,0.0
35,[196753],0.0,0.0,0.0,0.0
36,[138626],0.0,0.0,0.0,0.0
37,[280833],0.0,0.0,0.0,0.0
38,[188299],0.0,0.0,0.0,0.0
39,[189993],0.0,0.0,0.0,0.0
40,[54257],0.0,0.0,0.0,0.0
41,[296098],0.0,0.0,0.0,0.0
42,[134650],0.0,0.0,0.0,0.0
43,[112448],0.0,0.0,0.0,0.0
44,[6550],0.0,0.0,0.0,0.0
45,[41491],0.0,0.0,0.0,0.0
46,[131490],0.0,0.0,0.0,0.0
47,[180103],0.0,0.0,0.0,0.0
48,[109143],0.0,0.0,0.0,0.0
49,[52278],0.0,0.0,0.0,0.0
50,[199050],0.0,0.0,0.0,0.0
51,[74329],0.0,0.0,0.0,0.0
52,[18088],0.0,0.0,0.0,0.0
53,[280056],0.0,0.0,0.0,0.0
54,[199639],0.0,0.0,0.0,0.0
55,[166977],0.0,0.0,0.0,0.0
56,[256797],0.0,0.0,0.0,0.0
57,[113210],0.0,0.0,0.0,0.0
58,[189279],0.0,0.0,0.0,0.0
59,[100026],0.0,0.0,0.0,0.0
60,[8287],0.0,0.0,0.0,0.0
61,[99486],0.0,0.0,0.0,0.0
62,[193165],0.0,0.0,0.0,0.0
63,[280771],0.0,0.0,0.0,0.0
64,[26689],0.0,0.0,0.0,0.0
65,[230503],0.0,0.0,0.0,0.0
66,[12194],0.0,0.0,0.0,0.0
67,[149793],0.0,0.0,0.0,0.0
68,[179461],0.0,0.0,0.0,0.0
69,[14834],0.0,0.0,0.0,0.0
70,[55934],0.0,0.0,0.0,0.0
71,[200841],0.0,0.0,0.0,0.0
72,[150108],0.0,0.0,0.0,0.0
73,[138719],0.0,0.0,0.0,0.0
74,[14731],0.0,0.0,0.0,0.0
75,[27755],0.0,0.0,0.0,0.0
76,[38657],0.0,0.0,0.0,0.0
77,[194388],0.0,0.0,0.0,0.0
78,[134805],0.0,0.0,0.0,0.0
79,[9851],0.0,0.0,0.0,0.0
80,[84860],0.0,0.0,0.0,0.0
81,[155822],0.0,0.0,0.0,0.0
82,[119662],0.0,0.0,0.0,0.0
83,[170744],0.0,0.0,0.0,0.0
84,[199925],0.0,0.0,0.0,0.0
85,[76751],0.0,0.0,0.0,0.0
86,[95718],0.0,0.0,0.0,0.0
87,[287401],0.0,0.0,0.0,0.0
88,[156556],0.0,0.0,0.0,0.0
89,[134102],0.0,0.0,0.0,0.0
90,[69869],0.0,0.0,0.0,0.0
91,[16046],0.0,0.0,0.0,0.0
92,[29280],0.0,0.0,0.0,0.0
93,[177483],0.0,0.0,0.0,0.0
94,[175947],0.0,0.0,0.0,0.0
95,[287243],0.0,0.0,0.0,0.0
96,[91100],0.0,0.0,0.0,0.0
97,[267883],0.0,0.0,0.0,0.0
98,[207584],0.0,0.0,0.0,0.0
99,[294635],0.0,0.0,0.0,0.0
100,[99192],0.0,0.0,0.0,0.0
