num_samples,query_ids,Precision,Recall,F1-score,Kappa
0,[],0.0,0.0,0.0,0.0
1,[36414],0.0,0.0,0.0,0.0
2,[111101],0.0,0.0,0.0,0.0
3,[51004],0.0,0.0,0.0,0.0
4,[122563],0.0,0.0,0.0,0.0
5,[209280],0.0,0.0,0.0,0.0
6,[216964],0.0,0.0,0.0,0.0
7,[182413],0.0,0.0,0.0,0.0
8,[250161],0.0,0.0,0.0,0.0
9,[117920],0.0,0.0,0.0,0.0
10,[60009],0.0,0.0,0.0,0.0
11,[17908],0.0,0.0,0.0,0.0
12,[55176],0.0,0.0,0.0,0.0
13,[49886],0.0,0.0,0.0,0.0
14,[171483],0.0,0.0,0.0,0.0
15,[287728],0.0,0.0,0.0,0.0
16,[150972],0.0,0.0,0.0,0.0
17,[178714],0.0,0.0,0.0,0.0
18,[145610],0.0,0.0,0.0,0.0
19,[68803],0.0,0.0,0.0,0.0
20,[290291],0.0,0.0,0.0,0.0
21,[46528],0.0,0.0,0.0,0.0
22,[98922],0.0,0.0,0.0,0.0
23,[4587],0.0,0.0,0.0,0.0
24,[221773],0.0,0.0,0.0,0.0
25,[149011],0.0,0.0,0.0,0.0
26,[170119],0.0,0.0,0.0,0.0
27,[4528],0.0,0.0,0.0,0.0
28,[107870],0.0,0.0,0.0,0.0
29,[34249],0.0,0.0,0.0,0.0
30,[50869],0.0,0.0,0.0,0.0
31,[112084],0.0,0.0,0.0,0.0
32,[262957],0.0,0.0,0.0,0.0
33,[254248],0.0,0.0,0.0,0.0
34,[197818],0.0,0.0,0.0,0.0
35,[89655],0.0,0.0,0.0,0.0
36,[115827],0.0,0.0,0.0,0.0
37,[249839],0.0,0.0,0.0,0.0
38,[133181],0.0,0.0,0.0,0.0
39,[268212],0.0,0.0,0.0,0.0
40,[124104],0.0,0.0,0.0,0.0
41,[45281],0.0,0.0,0.0,0.0
42,[104948],0.0,0.0,0.0,0.0
43,[132090],0.0,0.0,0.0,0.0
44,[170467],0.0,0.0,0.0,0.0
45,[3316],0.0,0.0,0.0,0.0
46,[114177],0.0,0.0,0.0,0.0
47,[42013],0.0,0.0,0.0,0.0
48,[110564],0.0,0.0,0.0,0.0
49,[23171],0.0,0.0,0.0,0.0
50,[110039],0.0,0.0,0.0,0.0
51,[273251],0.0,0.0,0.0,0.0
52,[170743],0.0,0.0,0.0,0.0
53,[144347],0.0,0.0,0.0,0.0
54,[179035],0.0,0.0,0.0,0.0
55,[172892],0.0,0.0,0.0,0.0
56,[243073],0.0,0.0,0.0,0.0
57,[34123],0.0,0.0,0.0,0.0
58,[206573],0.0,0.0,0.0,0.0
59,[39042],0.0,0.0,0.0,0.0
60,[190354],0.0,0.0,0.0,0.0
61,[190960],0.0,0.0,0.0,0.0
62,[119581],0.0,0.0,0.0,0.0
63,[209651],0.0,0.0,0.0,0.0
64,[15227],0.0,0.0,0.0,0.0
65,[134923],0.0,0.0,0.0,0.0
66,[4667],0.0,0.0,0.0,0.0
67,[115539],0.0,0.0,0.0,0.0
68,[32592],0.0,0.0,0.0,0.0
69,[119927],0.0,0.0,0.0,0.0
70,[34471],0.0,0.0,0.0,0.0
71,[147707],0.0,0.0,0.0,0.0
72,[186176],0.0,0.0,0.0,0.0
73,[86208],0.0,0.0,0.0,0.0
74,[177054],0.0,0.0,0.0,0.0
75,[275949],0.0,0.0,0.0,0.0
76,[123674],0.0,0.0,0.0,0.0
77,[194725],0.0,0.0,0.0,0.0
78,[133876],0.0,0.0,0.0,0.0
79,[16293],0.0,0.0,0.0,0.0
80,[67624],0.0,0.0,0.0,0.0
81,[213543],0.0,0.0,0.0,0.0
82,[107427],0.0,0.0,0.0,0.0
83,[23730],0.0,0.0,0.0,0.0
84,[90616],0.0,0.0,0.0,0.0
85,[86168],0.0,0.0,0.0,0.0
86,[283713],0.0,0.0,0.0,0.0
87,[185122],0.0,0.0,0.0,0.0
88,[209328],0.0,0.0,0.0,0.0
89,[200793],0.0,0.0,0.0,0.0
90,[28514],0.0,0.0,0.0,0.0
91,[32750],0.0,0.0,0.0,0.0
92,[290159],0.0,0.0,0.0,0.0
93,[36120],0.0,0.0,0.0,0.0
94,[132780],0.0,0.0,0.0,0.0
95,[70139],0.0,0.0,0.0,0.0
96,[212391],0.0,0.0,0.0,0.0
97,[200609],0.0,0.0,0.0,0.0
98,[100230],0.0,0.0,0.0,0.0
99,[34775],0.0,0.0,0.0,0.0
100,[184384],0.0,0.0,0.0,0.0
