num_samples,query_ids,Precision,Recall,F1-score,Kappa
0,[],0.025,0.007518796992481203,0.011560693641618498,0.010531900907161607
1,[27221],0.029411764705882353,0.007518796992481203,0.011976047904191616,0.011070649101155627
2,[285872],0.0,0.0,0.0,-0.0008507449228192243
3,[214122],0.0,0.0,0.0,-0.0005363405444325231
4,[18395],0.0,0.0,0.0,0.0
5,[18399],0.0,0.0,0.0,0.0
6,[29593],0.0,0.0,0.0,0.0
7,[234067],0.0,0.0,0.0,0.0
8,[176613],0.0,0.0,0.0,0.0
9,[60204],0.0,0.0,0.0,0.0
10,[285991],0.0,0.0,0.0,0.0
11,[30904],0.0,0.0,0.0,0.0
12,[102631],0.0,0.0,0.0,0.0
13,[214154],0.0,0.0,0.0,0.0
14,[192856],0.0,0.0,0.0,0.0
15,[27176],0.0,0.0,0.0,0.0
16,[286041],0.0,0.0,0.0,0.0
17,[219312],0.0,0.0,0.0,0.0
18,[234436],0.0,0.0,0.0,0.0
19,[234437],0.0,0.0,0.0,-0.0001313132809068751
20,[234430],0.0,0.0,0.0,-3.356000212972887e-05
21,[232882],0.0,0.0,0.0,0.0
22,[275833],0.0,0.0,0.0,0.0
23,[234426],0.0,0.0,0.0,0.0
24,[30900],0.0,0.0,0.0,0.0
25,[219893],0.0,0.0,0.0,0.0
26,[27240],0.0,0.0,0.0,0.0
27,[19478],0.0,0.0,0.0,0.0
28,[60207],0.0,0.0,0.0,0.0
29,[45427],0.0,0.0,0.0,0.0
30,[8308],0.0,0.0,0.0,0.0
31,[173402],0.0,0.0,0.0,0.0
32,[286037],0.0,0.0,0.0,0.0
33,[25356],0.0,0.0,0.0,0.0
34,[19458],0.0,0.0,0.0,0.0
35,[214143],0.0,0.0,0.0,0.0
36,[214145],0.0,0.0,0.0,0.0
37,[214144],0.0,0.0,0.0,-3.356000212972887e-05
38,[214139],0.0,0.0,0.0,0.0
39,[212213],0.0,0.0,0.0,0.0
40,[214146],0.0,0.0,0.0,-3.356000212972887e-05
41,[214148],0.0,0.0,0.0,-3.356000212972887e-05
42,[214147],0.0,0.0,0.0,-3.356000212972887e-05
43,[214151],0.0,0.0,0.0,-3.356000212972887e-05
44,[215808],0.0,0.0,0.0,-3.356000212972887e-05
45,[214152],0.0,0.0,0.0,-3.356000212972887e-05
46,[58397],0.0,0.0,0.0,-3.356000212972887e-05
47,[217547],0.0,0.0,0.0,-3.356000212972887e-05
48,[214138],0.0,0.0,0.0,-3.356000212972887e-05
49,[210446],0.0,0.0,0.0,-3.356000212972887e-05
50,[117886],0.0,0.0,0.0,-3.356000212972887e-05
51,[214150],0.0,0.0,0.0,-3.356000212972887e-05
