num_samples,query_ids,Precision,Recall,F1-score,Kappa
0,[],0.028169014084507043,0.015037593984962405,0.019607843137254898,0.018071032149242883
1,[51209],0.028169014084507043,0.015037593984962405,0.019607843137254898,0.018071032149242883
2,[26921],0.028169014084507043,0.015037593984962405,0.019607843137254898,0.018071032149242883
3,[28845],0.028169014084507043,0.015037593984962405,0.019607843137254898,0.018071032149242883
4,[27176],0.028169014084507043,0.015037593984962405,0.019607843137254898,0.018071032149242883
5,[214250],0.041666666666666664,0.015037593984962405,0.022099447513812154,0.020931864462063077
6,[214758],0.2857142857142857,0.015037593984962405,0.02857142857142857,0.028352959108961406
7,[29379],0.2857142857142857,0.015037593984962405,0.02857142857142857,0.028352959108961406
8,[29172],0.2857142857142857,0.015037593984962405,0.02857142857142857,0.028352959108961406
9,[29290],0.2857142857142857,0.015037593984962405,0.02857142857142857,0.028352959108961406
10,[27752],0.2857142857142857,0.015037593984962405,0.02857142857142857,0.028352959108961406
11,[29158],0.2857142857142857,0.015037593984962405,0.02857142857142857,0.028352959108961406
12,[215762],0.6666666666666666,0.015037593984962405,0.029411764705882353,0.029315476597470247
13,[215837],0.0,0.0,0.0,0.0
14,[215815],0.0,0.0,0.0,0.0
15,[29171],0.0,0.0,0.0,0.0
16,[62894],0.0,0.0,0.0,0.0
17,[232618],0.0,0.0,0.0,0.0
18,[116093],0.0,0.0,0.0,0.0
19,[62263],0.0,0.0,0.0,0.0
20,[31018],0.0,0.0,0.0,0.0
21,[238061],0.0,0.0,0.0,0.0
22,[178477],0.0,0.0,0.0,0.0
23,[209339],0.0,0.0,0.0,0.0
24,[123129],0.0,0.0,0.0,0.0
25,[291431],0.0,0.0,0.0,0.0
26,[214151],0.0,0.0,0.0,0.0
27,[59187],0.0,0.0,0.0,0.0
28,[30641],0.0,0.0,0.0,0.0
29,[205583],0.0,0.0,0.0,0.0
30,[287747],0.0,0.0,0.0,0.0
31,[281323],0.0,0.0,0.0,0.0
32,[57299],0.0,0.0,0.0,0.0
33,[215772],0.0,0.0,0.0,0.0
