num_samples,query_ids,Precision,Recall,F1-score,Kappa
0,[],0.004511278195488722,0.022556390977443608,0.0075187969924812035,0.0037855752787062658
1,[30584],0.0055147058823529415,0.022556390977443608,0.008862629246676515,0.005268212484837442
2,[29192],0.006864988558352402,0.022556390977443608,0.010526315789473684,0.007103189670550902
3,[285960],0.008086253369272238,0.022556390977443608,0.011904761904761904,0.00862309593462618
4,[187357],0.00847457627118644,0.022556390977443608,0.012320328542094456,0.009081227018137517
5,[214137],0.0,0.0,0.0,-0.0027556719187049605
6,[223305],0.0,0.0,0.0,-0.0028104705492271176
7,[223300],0.0,0.0,0.0,-0.002697237682010245
8,[214151],0.0,0.0,0.0,-0.002210245443186487
9,[284812],0.0,0.0,0.0,-0.0016651252407240413
10,[170256],0.0,0.0,0.0,-0.0025162071488031845
11,[234436],0.0,0.0,0.0,-0.0020599555483276077
12,[234440],0.019867549668874173,0.022556390977443608,0.02112676056338028,0.018780712598518767
13,[284176],0.0,0.0,0.0,-0.0018302048368641355
14,[27177],0.025423728813559324,0.022556390977443608,0.02390438247011952,0.021836470937307118
15,[260943],0.0,0.0,0.0,-0.0012655902196008206
16,[234058],0.0,0.0,0.0,-0.0013002554525820553
17,[285978],0.0,0.0,0.0,-0.0011569622158604798
18,[34678],0.0,0.0,0.0,-0.0006878954536833071
19,[275842],0.0,0.0,0.0,-0.0010206842539728367
20,[203652],0.0,0.0,0.0,-0.0010408253980176418
21,[21306],0.0,0.0,0.0,-0.0007120397680100421
22,[29593],0.0,0.0,0.0,-0.0003722949135558373
23,[19403],0.0,0.0,0.0,-0.0006878954536833071
24,[275840],0.0,0.0,0.0,-0.0007594263719108429
25,[225042],0.0,0.0,0.0,-0.0011381479622776247
26,[225046],0.0,0.0,0.0,-0.0003722949135558373
27,[275823],0.0,0.0,0.0,-9.920592987899823e-05
28,[234371],0.0,0.0,0.0,-0.000162957325029911
29,[214144],0.0,0.0,0.0,-0.0010998802421005038
30,[28776],0.0,0.0,0.0,-0.0006135884466984542
31,[214147],0.0,0.0,0.0,-0.000979693605354326
32,[232650],0.0,0.0,0.0,-0.0008056472593476194
33,[30900],0.0,0.0,0.0,-0.0006878954536833071
34,[214752],0.0,0.0,0.0,-0.0005624273178981287
35,[234400],0.0,0.0,0.0,-0.00025520777366727643
36,[208791],0.0,0.0,0.0,-0.0003722949135558373
37,[73157],0.0,0.0,0.0,-0.0003436304237178778
38,[282892],0.0,0.0,0.0,-0.00019414801864403586
39,[19456],0.0,0.0,0.0,-9.920592987899823e-05
40,[214143],0.0,0.0,0.0,-0.0005099073348848737
41,[60152],0.0,0.0,0.0,-0.00019414801864403586
42,[253830],0.0,0.0,0.0,-9.920592987899823e-05
43,[254416],0.0,0.0,0.0,-0.00025520777366727643
44,[228442],0.0,0.0,0.0,-0.0001313132809068751
