num_samples,query_ids,Precision,Recall,F1-score,Kappa
0,[],1.0,0.0653061224489796,0.12260536398467435,0.1217038284344667
1,[107561],1.0,0.08571428571428572,0.15789473684210528,0.15678008071588978
2,[106445],1.0,0.10408163265306122,0.18853974121996303,0.1872568535862399
3,[106522],1.0,0.15714285714285714,0.271604938271605,0.2699448708960783
4,[106436],1.0,0.15918367346938775,0.2746478873239437,0.2729761913663342
5,[106427],1.0,0.2693877551020408,0.42443729903536975,0.4223847924590386
6,[107762],1.0,0.27755102040816326,0.43450479233226835,0.4324401795599361
7,[106309],1.0,0.3448979591836735,0.512898330804249,0.5107976881358072
8,[107738],1.0,0.37142857142857144,0.5416666666666666,0.53957871761608
9,[107291],1.0,0.3693877551020408,0.5394932935916542,0.5374038992494878
10,[107741],1.0,0.37755102040816324,0.5481481481481482,0.5460649813986487
11,[106622],1.0,0.3877551020408163,0.5588235294117647,0.5567497811315725
12,[107887],1.0,0.39183673469387753,0.563049853372434,0.5609803640440822
13,[106649],1.0,0.38979591836734695,0.5609397944199707,0.5588681411434645
14,[107895],1.0,0.40816326530612246,0.5797101449275363,0.5776603749547132
15,[107920],1.0,0.43673469387755104,0.6079545454545455,0.6059488912424045
16,[106417],1.0,0.4489795918367347,0.6197183098591549,0.6177349968359391
17,[106442],1.0,0.4489795918367347,0.6197183098591549,0.6177349968359391
18,[108005],1.0,0.44693877551020406,0.617771509167842,0.615784337730791
19,[107994],1.0,0.46530612244897956,0.6350974930362117,0.6331469075923672
20,[106366],1.0,0.47346938775510206,0.6426592797783934,0.6407262494546733
21,[106347],1.0,0.46938775510204084,0.6388888888888888,0.636946984785312
22,[106388],0.975,0.4775510204081633,0.6410958904109588,0.6391092166106851
23,[106393],0.9428571428571428,0.4714285714285714,0.6285714285714287,0.6264867111537291
24,[93653],0.9583333333333334,0.46938775510204084,0.6301369863013699,0.6280896507056679
25,[106392],0.9831932773109243,0.4775510204081633,0.6428571428571428,0.6408913678263843
26,[104449],1.0,0.4775510204081633,0.6464088397790055,0.644484872114696
27,[106413],1.0,0.4857142857142857,0.6538461538461539,0.651940864200957
28,[106665],1.0,0.4857142857142857,0.6538461538461539,0.651940864200957
29,[106409],1.0,0.4857142857142857,0.6538461538461539,0.651940864200957
30,[104488],1.0,0.4857142857142857,0.6538461538461539,0.651940864200957
31,[106339],1.0,0.4897959183673469,0.6575342465753424,0.6556385654682111
32,[106692],0.9692307692307692,0.5142857142857142,0.6719999999999999,0.6700849655829813
33,[106742],1.0,0.5102040816326531,0.6756756756756758,0.6738306012299342
34,[106340],1.0,0.5102040816326531,0.6756756756756758,0.6738306012299342
35,[106731],1.0,0.5061224489795918,0.6720867208672087,0.6702311938471488
36,[106718],0.980544747081712,0.5142857142857142,0.6746987951807227,0.6728139761532451
37,[106764],1.0,0.5061224489795918,0.6720867208672087,0.6702311938471488
38,[106716],1.0,0.5142857142857142,0.6792452830188679,0.6774108205829181
39,[106740],1.0,0.5081632653061224,0.6738836265223274,0.6720333056703736
40,[106719],0.9767441860465116,0.5142857142857142,0.6737967914438502,0.6719019005238788
41,[108419],1.0,0.5142857142857142,0.6792452830188679,0.6774108205829181
42,[106735],1.0,0.5142857142857142,0.6792452830188679,0.6774108205829181
43,[106726],0.972972972972973,0.5142857142857142,0.6728971962616821,0.6709922335099409
44,[108446],0.9692307692307692,0.5142857142857142,0.6719999999999999,0.6700849655829813
45,[102985],0.9960474308300395,0.5142857142857142,0.6783310901749663,0.6764865571694618
46,[104783],0.9960474308300395,0.5142857142857142,0.6783310901749663,0.6764865571694618
47,[106407],1.0,0.5142857142857142,0.6792452830188679,0.6774108205829181
48,[106674],0.9921259842519685,0.5142857142857142,0.6774193548387096,0.6755647507783182
49,[104787],1.0,0.5142857142857142,0.6792452830188679,0.6774108205829181
50,[106728],1.0,0.5142857142857142,0.6792452830188679,0.6774108205829181
51,[91850],1.0,0.5142857142857142,0.6792452830188679,0.6774108205829181
52,[127858],1.0,0.5142857142857142,0.6792452830188679,0.6774108205829181
53,[106363],1.0,0.5142857142857142,0.6792452830188679,0.6774108205829181
54,[104443],1.0,0.5142857142857142,0.6792452830188679,0.6774108205829181
55,[104419],1.0,0.5142857142857142,0.6792452830188679,0.6774108205829181
56,[106341],1.0,0.5142857142857142,0.6792452830188679,0.6774108205829181
57,[108449],1.0,0.5142857142857142,0.6792452830188679,0.6774108205829181
58,[106724],1.0,0.5142857142857142,0.6792452830188679,0.6774108205829181
59,[104797],1.0,0.5142857142857142,0.6792452830188679,0.6774108205829181
