num_samples,query_ids,Precision,Recall,F1-score,Kappa
0,[],1.0,0.3795918367346939,0.5502958579881656,0.5482144318990434
1,[106372],1.0,0.4,0.5714285714285715,0.569368414856672
2,[223329],1.0,0.4142857142857143,0.5858585858585859,0.5838172745328878
3,[223400],1.0,0.42448979591836733,0.5959885386819485,0.5939625529020556
4,[106410],1.0,0.44081632653061226,0.6118980169971672,0.6098995920318155
5,[106438],1.0,0.44081632653061226,0.6118980169971672,0.6098995920318155
6,[106461],1.0,0.45714285714285713,0.6274509803921569,0.6254836241364817
7,[106485],1.0,0.5040816326530613,0.6702849389416554,0.6684242463748695
8,[106603],1.0,0.5122448979591837,0.6774628879892037,0.6756230998077418
9,[106625],1.0,0.5224489795918368,0.6863270777479893,0.6845143056802552
10,[106645],1.0,0.5224489795918368,0.6863270777479893,0.6845143056802552
11,[223458],1.0,0.5571428571428572,0.7155963302752294,0.7138821938356168
12,[223555],1.0,0.5816326530612245,0.7354838709677418,0.7338450174024344
13,[223622],1.0,0.5816326530612245,0.7354838709677418,0.7338450174024344
14,[223625],1.0,0.5877551020408164,0.7403598971722366,0.7387405225217836
15,[223679],1.0,0.6224489795918368,0.7672955974842767,0.7657910754850764
16,[106679],1.0,0.6346938775510204,0.7765293383270911,0.7750670149880149
17,[223740],0.9789156626506024,0.6632653061224489,0.7907542579075425,0.7893295287089647
18,[223769],0.9770114942528736,0.6938775510204082,0.8114558472553699,0.8101356432088549
19,[223856],0.9585635359116023,0.7081632653061225,0.8145539906103287,0.8132252212716116
20,[223952],0.9831730769230769,0.8346938775510204,0.902869757174393,0.902117209763953
21,[106697],0.9718969555035128,0.8469387755102041,0.9051254089422028,0.9043798701247486
22,[106791],0.9975961538461539,0.8469387755102041,0.9161147902869757,0.9154648629779595
23,[106731],1.0,0.8387755102040816,0.9123196448390676,0.9116447880898316
24,[223324],1.0,0.8448979591836735,0.9159292035398231,0.9152795488735324
25,[223321],1.0,0.8510204081632653,0.9195148842337376,0.9188904841264665
26,[223318],0.9859154929577465,0.8571428571428571,0.9170305676855894,0.9163794045993914
27,[224986],1.0,0.8510204081632653,0.9195148842337376,0.9188904841264665
28,[223313],1.0,0.8591836734693877,0.924259055982437,0.9236684056614066
29,[106350],1.0,0.8653061224489796,0.9277899343544858,0.927224650800225
30,[223308],0.9953051643192489,0.8653061224489796,0.925764192139738,0.9251815725362976
31,[224988],1.0,0.8653061224489796,0.9277899343544858,0.927224650800225
32,[225008],1.0,0.863265306122449,0.9266155531215773,0.926041808983084
33,[106344],1.0,0.863265306122449,0.9266155531215773,0.926041808983084
34,[223305],1.0,0.863265306122449,0.9266155531215773,0.926041808983084
35,[223301],1.0,0.863265306122449,0.9266155531215773,0.926041808983084
36,[106710],1.0,0.8673469387755102,0.9289617486338798,0.9284049305356645
37,[106716],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
38,[106719],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
39,[106724],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
40,[106728],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
41,[106726],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
42,[225015],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
43,[224158],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
44,[107288],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
45,[195195],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
46,[221602],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
47,[104791],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
48,[214454],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
49,[108449],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
50,[224162],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
51,[106400],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
52,[225014],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
53,[224009],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
54,[195201],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
55,[104415],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
56,[221609],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
57,[106437],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
58,[104787],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
59,[221635],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
60,[223303],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
61,[108442],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
62,[214444],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
63,[221967],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
64,[214793],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
65,[106341],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
66,[107979],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
67,[104445],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
68,[106395],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
69,[104449],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
70,[223896],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
71,[106742],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
72,[106413],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
73,[224222],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
74,[146889],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
75,[106362],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
76,[129626],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
77,[223300],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
78,[225011],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
79,[224048],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
80,[106391],1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
