num_samples,query_ids,Precision,Recall,F1-score,Kappa
0,[],0.0,0.0,0.0,0.0
1,[43948],0.0,0.0,0.0,0.0
2,[277767],0.0,0.0,0.0,0.0
3,[97799],0.0,0.0,0.0,0.0
4,[290074],0.0,0.0,0.0,0.0
5,[70771],0.0,0.0,0.0,0.0
6,[83993],0.0,0.0,0.0,0.0
7,[114266],0.0,0.0,0.0,0.0
8,[736],0.0,0.0,0.0,0.0
9,[29876],0.0,0.0,0.0,0.0
10,[70453],0.0,0.0,0.0,0.0
11,[59469],0.0,0.0,0.0,0.0
12,[255555],0.0,0.0,0.0,0.0
13,[16431],0.0,0.0,0.0,0.0
14,[5795],0.0,0.0,0.0,0.0
15,[238029],0.0,0.0,0.0,0.0
16,[94269],0.0,0.0,0.0,0.0
17,[5721],0.0,0.0,0.0,0.0
18,[72135],0.0,0.0,0.0,0.0
19,[10992],0.0,0.0,0.0,0.0
20,[289333],0.0,0.0,0.0,0.0
21,[148156],0.0,0.0,0.0,0.0
22,[139202],0.0,0.0,0.0,0.0
23,[179341],0.0,0.0,0.0,0.0
24,[118289],0.0,0.0,0.0,0.0
25,[94025],0.0,0.0,0.0,0.0
26,[273328],0.0,0.0,0.0,0.0
27,[260670],0.0,0.0,0.0,0.0
28,[68095],0.0,0.0,0.0,0.0
29,[236278],0.0,0.0,0.0,0.0
30,[171895],0.0,0.0,0.0,0.0
31,[25407],0.0,0.0,0.0,0.0
32,[115586],0.0,0.0,0.0,0.0
33,[200959],0.0,0.0,0.0,0.0
34,[162906],0.0,0.0,0.0,0.0
35,[134253],0.0,0.0,0.0,0.0
36,[235180],0.0,0.0,0.0,0.0
37,[154872],0.0,0.0,0.0,0.0
38,[243633],0.0,0.0,0.0,0.0
39,[287926],0.0,0.0,0.0,0.0
40,[84332],0.0,0.0,0.0,0.0
41,[121406],0.0,0.0,0.0,0.0
42,[222608],0.0,0.0,0.0,0.0
43,[177251],0.0,0.0,0.0,0.0
44,[104428],0.0,0.0,0.0,0.0
45,[74740],0.0,0.0,0.0,0.0
46,[163739],0.0,0.0,0.0,0.0
47,[182296],0.0,0.0,0.0,0.0
48,[286851],0.0,0.0,0.0,0.0
49,[276408],0.0,0.0,0.0,0.0
50,[45961],0.0,0.0,0.0,0.0
