Model,Sampling Ratio,Precision,Recall,F1-score,Cohen's Kappa,ROC-AUC,PRC-AUC,Confusion Matrix
KNN,0.99,0.9976689976689976,0.8734693877551021,0.9314472252448314,0.9309071712958983,0.9517532847937066,0.8947108715991433,"[[58037     1]
 [   62   428]]"
KNN,0.8,0.9906759906759907,0.8673469387755102,0.924918389553863,0.9243269018955076,0.9486654064086092,0.8888971571973411,"[[58034     4]
 [   65   425]]"
KNN,0.5,0.9858490566037735,0.8530612244897959,0.9146608315098468,0.9139927691275387,0.9435612206218164,0.8791718346121314,"[[58032     6]
 [   72   418]]"
KNN,0.3,0.9904534606205251,0.8469387755102041,0.9130913091309132,0.9124153184844815,0.9435317184870433,0.8776654446516838,"[[58034     4]
 [   75   415]]"
KNN,0.2,0.9855421686746988,0.8346938775510204,0.9038674033149171,0.903123562388487,0.9424986514816823,0.8700565938072964,"[[58032     6]
 [   81   409]]"
KNN,0.1,0.9776119402985075,0.8020408163265306,0.8811659192825112,0.8802623649625029,0.9280961945410853,0.8415100765079645,"[[58029     9]
 [   97   393]]"
KNN,0.05,0.9651162790697675,0.6775510204081633,0.7961630695443646,0.794745489820451,0.9287207677447076,0.7960919848215555,"[[58026    12]
 [  158   332]]"
KNN,0.01,1.0,0.2897959183673469,0.44936708860759494,0.4472877138069308,0.7768170712924888,0.406492430014858,"[[58038     0]
 [  348   142]]"
KNN,0.005,1.0,0.04081632653061224,0.07843137254901959,0.07782584325410136,0.7176141458340806,0.23382217286787707,"[[58038     0]
 [  470    20]]"
KNN,0.002,0.0,0.0,0.0,0.0,0.6892685017768092,0.10674433024279639,"[[58038     0]
 [  490     0]]"
KNN,0.001,0.0,0.0,0.0,0.0,0.5496870101291835,0.015129932829356409,"[[58038     0]
 [  490     0]]"
XGBoost,0.99,0.9953596287703016,0.8755102040816326,0.9315960912052117,0.9310558628536588,0.993023940683479,0.9262817789770138,"[[58036     2]
 [   61   429]]"
XGBoost,0.8,0.9976744186046511,0.8755102040816326,0.932608695652174,0.9320771273628734,0.9935002120356051,0.9235676821087201,"[[58037     1]
 [   61   429]]"
XGBoost,0.5,0.9930394431554525,0.8734693877551021,0.9294245385450597,0.9288671600871083,0.9855053620745311,0.9142852041528347,"[[58035     3]
 [   62   428]]"
XGBoost,0.3,0.9930394431554525,0.8734693877551021,0.9294245385450597,0.9288671600871083,0.981232633651,0.915914767652705,"[[58035     3]
 [   62   428]]"
XGBoost,0.2,0.9953488372093023,0.8734693877551021,0.9304347826086956,0.9298860669552241,0.975394252604381,0.9118495883564746,"[[58036     2]
 [   62   428]]"
XGBoost,0.1,0.9836829836829837,0.8612244897959184,0.9183895538628946,0.917746632495117,0.9739208161296153,0.9002385709596085,"[[58031     7]
 [   68   422]]"
XGBoost,0.05,0.9952267303102625,0.8510204081632653,0.9174917491749175,0.9168499859029888,0.9724257717146612,0.8915450465896159,"[[58036     2]
 [   73   417]]"
XGBoost,0.01,1.0,0.34285714285714286,0.5106382978723404,0.5085372478693388,0.9628328132659036,0.7666490884799885,"[[58038     0]
 [  322   168]]"
XGBoost,0.005,1.0,0.2979591836734694,0.4591194968553459,0.45703245092706923,0.9635699446738274,0.7702620690823238,"[[58038     0]
 [  344   146]]"
XGBoost,0.002,0.0,0.0,0.0,0.0,0.7880435654050724,0.09979051648131142,"[[58038     0]
 [  490     0]]"
XGBoost,0.001,0.0,0.0,0.0,0.0,0.7146079345622256,0.08128963033505922,"[[58038     0]
 [  490     0]]"
CatBoost,0.99,1.0,0.7244897959183674,0.8402366863905326,0.8391048674907235,0.9721811395911615,0.8787116713362837,"[[58038     0]
 [  135   355]]"
CatBoost,0.8,0.9065817409766455,0.8714285714285714,0.8886576482830385,0.8877363525500617,0.9619089639370687,0.8454771199525221,"[[57994    44]
 [   63   427]]"
CatBoost,0.5,1.0,0.7877551020408163,0.8812785388127853,0.8803960870425689,0.9632158663113752,0.8764808572429745,"[[58038     0]
 [  104   386]]"
CatBoost,0.3,0.8970189701897019,0.6755102040816326,0.7706635622817228,0.7690020493676996,0.9621885836935828,0.8592466450917495,"[[58000    38]
 [  159   331]]"
CatBoost,0.2,1.0,0.6408163265306123,0.7810945273631841,0.7796536004609488,0.9643957055581459,0.8736624732836699,"[[58038     0]
 [  176   314]]"
CatBoost,0.1,1.0,0.4959183673469388,0.6630286493860846,0.6611477086265429,0.9698447568834212,0.8801273741130944,"[[58038     0]
 [  247   243]]"
CatBoost,0.05,1.0,0.4816326530612245,0.650137741046832,0.6482230214220296,0.9713879752252395,0.8041605118806651,"[[58038     0]
 [  254   236]]"
CatBoost,0.01,1.0,0.19591836734693877,0.32764505119453924,0.32579566526391823,0.7863376633605991,0.3328843713220147,"[[58038     0]
 [  394    96]]"
CatBoost,0.005,0.0,0.0,0.0,0.0,0.7624671661283142,0.2657105847806464,"[[58038     0]
 [  490     0]]"
CatBoost,0.002,0.0,0.0,0.0,0.0,0.6931362527436282,0.2727935831740607,"[[58038     0]
 [  490     0]]"
CatBoost,0.001,0.0,0.0,0.0,0.0,0.4784736390162392,0.014979674492589728,"[[58038     0]
 [  490     0]]"
LightGBM,0.99,1.0,0.7959183673469388,0.8863636363636364,0.8855140717070625,0.9809267995423125,0.8825542979635529,"[[58038     0]
 [  100   390]]"
LightGBM,0.8,1.0,0.8040816326530612,0.8914027149321267,0.8905861728762023,0.9771912631484931,0.876946112618376,"[[58038     0]
 [   96   394]]"
