num_samples,query_ids,Precision,Recall,F1-score,Kappa
0,[],1.0,0.17551020408163265,0.2986111111111111,0.2968532509127555
2,"[106647, 106642]",1.0,0.19387755102040816,0.3247863247863248,0.3229453244295488
4,"[106667, 106680]",0.19164265129682997,0.2714285714285714,0.22466216216216217,0.21697714934682688
6,"[85025, 84992]",0.43137254901960786,0.2693877551020408,0.3316582914572865,0.3273284317749705
8,"[167064, 167066]",0.7633587786259542,0.20408163265306123,0.32206119162640906,0.3196581056874481
10,"[108491, 108492]",0.8947368421052632,0.20816326530612245,0.33774834437086093,0.3356487855907706
12,"[106769, 106767]",0.9901960784313726,0.20612244897959184,0.34121621621621623,0.33931014776395085
14,"[15574, 106697]",0.990909090909091,0.22244897959183674,0.36333333333333334,0.3613729041103716
16,"[107739, 107741]",0.9212598425196851,0.23877551020408164,0.3792544570502431,0.377107645371497
18,"[72586, 72584]",1.0,0.22857142857142856,0.3720930232558139,0.3701308640085712
20,"[107746, 107501]",0.9896373056994818,0.38979591836734695,0.5592972181551977,0.5572021192453006
22,"[107807, 107801]",0.9920318725099602,0.5081632653061224,0.6720647773279352,0.6701941977124739
24,"[104769, 104764]",1.0,0.5081632653061224,0.6738836265223274,0.6720333056703736
26,"[106715, 106710]",0.9767441860465116,0.5142857142857142,0.6737967914438502,0.6719019005238788
28,"[106745, 106747]",1.0,0.5122448979591837,0.6774628879892037,0.6756230998077418
30,"[108455, 108450]",1.0,0.5081632653061224,0.6738836265223274,0.6720333056703736
32,"[106719, 106718]",1.0,0.5142857142857142,0.6792452830188679,0.6774108205829181
34,"[106726, 106724]",0.9921259842519685,0.5142857142857142,0.6774193548387096,0.6755647507783182
36,"[223688, 223689]",0.9847908745247148,0.5285714285714286,0.6879150066401063,0.6860791306053858
38,"[147235, 223668]",1.0,0.5306122448979592,0.6933333333333334,0.6915428540003483
40,"[223711, 223713]",0.9889705882352942,0.5489795918367347,0.7060367454068242,0.7042691905688596
42,"[223632, 223633]",0.941717791411043,0.6265306122448979,0.7524509803921569,0.7507838637310682
44,"[147185, 214772]",0.8033980582524272,0.6755102040816326,0.7339246119733924,0.7318739595043919
46,"[106731, 224630]",1.0,0.5938775510204082,0.7451984635083226,0.7435988157055069
48,"[223509, 223512]",1.0,0.6306122448979592,0.7734668335419275,0.7719903544155651
50,"[223738, 223392]",0.9228971962616822,0.8061224489795918,0.8605664488017429,0.8594693785305308
52,"[224058, 224062]",0.9184549356223176,0.8734693877551021,0.895397489539749,0.8945367104074075
54,"[224864, 224866]",1.0,0.8306122448979592,0.907469342251951,0.9067609690730783
56,"[106381, 106379]",1.0,0.8510204081632653,0.9195148842337376,0.9188904841264665
58,"[223333, 223329]",0.9884526558891455,0.8734693877551021,0.9274106175514627,0.9268359104549948
60,"[223297, 224975]",0.9749430523917996,0.8734693877551021,0.9214208826695371,0.9207941701846856
62,"[195209, 195213]",0.9749430523917996,0.8734693877551021,0.9214208826695371,0.9207941701846856
64,"[224996, 225012]",0.9748283752860412,0.8693877551020408,0.919093851132686,0.9184501455360967
66,"[106350, 106338]",0.9749430523917996,0.8734693877551021,0.9214208826695371,0.9207941701846856
68,"[161118, 161117]",0.9749430523917996,0.8734693877551021,0.9214208826695371,0.9207941701846856
70,"[222001, 221992]",0.9749430523917996,0.8734693877551021,0.9214208826695371,0.9207941701846856
72,"[106728, 224936]",0.9861751152073732,0.8734693877551021,0.9264069264069265,0.9258235536101391
74,"[225000, 224994]",1.0,0.863265306122449,0.9266155531215773,0.926041808983084
76,"[223324, 223321]",1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
78,"[223307, 223304]",1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
80,"[223301, 225011]",1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
82,"[225014, 225015]",1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
84,"[68830, 68831]",1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
86,"[224978, 224979]",1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
88,"[146879, 146880]",1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
90,"[224959, 223303]",1.0,0.8734693877551021,0.9324618736383442,0.9319304802257259
