num_samples,query_ids,Precision,Recall,F1-score,Kappa
0,[],0.0,0.0,0.0,0.0
1,[246301],0.0,0.0,0.0,0.0
2,[248188],0.0,0.0,0.0,0.0
3,[250243],0.0,0.0,0.0,0.0
4,[249981],0.0,0.0,0.0,0.0
5,[246461],0.0,0.0,0.0,0.0
6,[249966],0.0,0.0,0.0,0.0
7,[250163],0.0,0.0,0.0,0.0
8,[248359],0.0,0.0,0.0,0.0
9,[248164],0.0,0.0,0.0,0.0
10,[250066],0.0,0.0,0.0,0.0
11,[248304],0.0,0.0,0.0,0.0
12,[250014],0.0,0.0,0.0,0.0
13,[246508],0.0,0.0,0.0,0.0
14,[248273],0.0,0.0,0.0,0.0
15,[248244],0.0,0.0,0.0,0.0
16,[250060],0.0,0.0,0.0,0.0
17,[248180],0.0,0.0,0.0,0.0
18,[246452],0.0,0.0,0.0,0.0
19,[248161],0.0,0.0,0.0,0.0
20,[248202],0.0,0.0,0.0,0.0
21,[246445],0.0,0.0,0.0,0.0
22,[248224],0.0,0.0,0.0,0.0
23,[248179],0.0,0.0,0.0,0.0
24,[248176],0.0,0.0,0.0,0.0
25,[248158],0.0,0.0,0.0,0.0
26,[248181],0.0,0.0,0.0,0.0
27,[248278],0.0,0.0,0.0,0.0
28,[248169],0.0,0.0,0.0,0.0
29,[248175],0.0,0.0,0.0,0.0
30,[246505],0.0,0.0,0.0,0.0
31,[248177],0.0,0.0,0.0,0.0
32,[150272],0.0,0.0,0.0,0.0
33,[210064],0.0,0.0,0.0,0.0
34,[155847],0.0,0.0,0.0,0.0
35,[11613],0.0,0.0,0.0,0.0
36,[177758],0.0,0.0,0.0,0.0
37,[175246],0.0,0.0,0.0,0.0
38,[68199],0.0,0.0,0.0,0.0
39,[129999],0.0,0.0,0.0,0.0
40,[215117],0.0,0.0,0.0,0.0
41,[77580],0.0,0.0,0.0,0.0
42,[97769],0.0,0.0,0.0,0.0
43,[253695],0.0,0.0,0.0,0.0
44,[13331],0.0,0.0,0.0,0.0
45,[124430],0.0,0.0,0.0,0.0
46,[171514],0.0,0.0,0.0,0.0
47,[233639],0.0,0.0,0.0,0.0
48,[165888],0.0,0.0,0.0,0.0
49,[258608],0.0,0.0,0.0,0.0
50,[277681],0.0,0.0,0.0,0.0
51,[256308],0.0,0.0,0.0,0.0
52,[6909],0.0,0.0,0.0,0.0
53,[89999],0.0,0.0,0.0,0.0
54,[7556],0.0,0.0,0.0,0.0
55,[297262],0.0,0.0,0.0,0.0
56,[231319],0.0,0.0,0.0,0.0
57,[214088],0.0,0.0,0.0,0.0
58,[190009],0.0,0.0,0.0,0.0
59,[219161],0.0,0.0,0.0,0.0
60,[224057],0.0,0.0,0.0,0.0
61,[128904],0.0,0.0,0.0,0.0
62,[200210],0.0,0.0,0.0,0.0
63,[58302],0.0,0.0,0.0,0.0
64,[131164],0.0,0.0,0.0,0.0
65,[208678],0.0,0.0,0.0,0.0
66,[230612],0.0,0.0,0.0,0.0
67,[216942],0.0,0.0,0.0,0.0
68,[13061],0.0,0.0,0.0,0.0
69,[115851],0.0,0.0,0.0,0.0
70,[160323],0.0,0.0,0.0,0.0
71,[278785],0.0,0.0,0.0,0.0
72,[174559],0.0,0.0,0.0,0.0
73,[301620],0.0,0.0,0.0,0.0
74,[240492],0.0,0.0,0.0,0.0
75,[50251],0.0,0.0,0.0,0.0
76,[27740],0.0,0.0,0.0,0.0
77,[146554],0.0,0.0,0.0,0.0
78,[121639],0.0,0.0,0.0,0.0
79,[26603],0.0,0.0,0.0,0.0
80,[259157],0.0,0.0,0.0,0.0
81,[136518],0.0,0.0,0.0,0.0
82,[135486],0.0,0.0,0.0,0.0
83,[292733],0.0,0.0,0.0,0.0
84,[160170],0.0,0.0,0.0,0.0
85,[17714],0.0,0.0,0.0,0.0
86,[49612],0.0,0.0,0.0,0.0
87,[19907],0.0,0.0,0.0,0.0
88,[112777],0.0,0.0,0.0,0.0
89,[245314],0.0,0.0,0.0,0.0
90,[151164],0.0,0.0,0.0,0.0
91,[173137],0.0,0.0,0.0,0.0
92,[220007],0.0,0.0,0.0,0.0
93,[282197],0.0,0.0,0.0,0.0
94,[123500],0.0,0.0,0.0,0.0
95,[23309],0.0,0.0,0.0,0.0
96,[138182],0.0,0.0,0.0,0.0
97,[120179],0.0,0.0,0.0,0.0
98,[52014],0.0,0.0,0.0,0.0
99,[199904],0.0,0.0,0.0,0.0
100,[153539],0.0,0.0,0.0,0.0
